session_id,problem_id,item_id,source_label_raw,note
cocc-00000-3099ecf25f,2730,2730:clean_control,,audit_only_not_run_truth
cocc-00001-2e1f6d69e5,2730,2730:negation_objective:2,,audit_only_not_run_truth
cocc-00002-36a6dd2fdf,2755,2755:negation_objective:4,,audit_only_not_run_truth
cocc-00003-d4dc294d49,2755,2755:clean_control,,audit_only_not_run_truth
cocc-00004-27058e6b76,2808,2808:clean_control,,audit_only_not_run_truth
cocc-00005-d354a86a76,2808,2808:negation_objective:16,,audit_only_not_run_truth
cocc-00006-dbd0e13cb6,2827,2827:negation_objective:25,,audit_only_not_run_truth
cocc-00007-1878468b7d,2827,2827:clean_control,,audit_only_not_run_truth
cocc-00008-6a1bb82c62,2839,2839:clean_control,,audit_only_not_run_truth
cocc-00009-987cb7b655,2839,2839:negation_objective:32,,audit_only_not_run_truth
cocc-00010-d428f742fc,2848,2848:negation_objective:36,,audit_only_not_run_truth
cocc-00011-a97b0e0328,2848,2848:clean_control,,audit_only_not_run_truth
cocc-00012-08da762404,2921,2921:clean_control,,audit_only_not_run_truth
cocc-00013-6230a121be,2921,2921:negation_objective:70,,audit_only_not_run_truth
cocc-00014-352cd9f95e,3032,3032:negation_objective:86,,audit_only_not_run_truth
cocc-00015-d4cea92d1a,3032,3032:clean_control,,audit_only_not_run_truth
cocc-00016-ef08ed83f5,3184,3184:clean_control,,audit_only_not_run_truth
cocc-00017-56cba8c779,3184,3184:negation_objective:115,,audit_only_not_run_truth
cocc-00018-0c21751909,3235,3235:negation_objective:147,,audit_only_not_run_truth
cocc-00019-4e3d4bfc30,3235,3235:clean_control,,audit_only_not_run_truth
