session_id,label,split,group_sha256,event_token,verification_result_path,trajectory_path,projection_request_path
cocc-00000-3099ecf25f,0,test,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419,10367,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00000-3099ecf25f.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00000-3099ecf25f\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00000-3099ecf25f.json
cocc-00001-2e1f6d69e5,0,test,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419,2532,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00001-2e1f6d69e5.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00001-2e1f6d69e5\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00001-2e1f6d69e5.json
cocc-00002-36a6dd2fdf,1,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc,858,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00002-36a6dd2fdf.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00002-36a6dd2fdf\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00002-36a6dd2fdf.json
cocc-00003-d4dc294d49,1,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc,15,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00003-d4dc294d49.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00003-d4dc294d49\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00003-d4dc294d49.json
cocc-00004-27058e6b76,0,test,e0c7bfa5b8e4ae0cecfc1f14093a71e05c27abd93a3850fc35f008c3baf866b4,3098,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00004-27058e6b76.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00004-27058e6b76\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00004-27058e6b76.json
cocc-00005-d354a86a76,1,test,e0c7bfa5b8e4ae0cecfc1f14093a71e05c27abd93a3850fc35f008c3baf866b4,2576,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00005-d354a86a76.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00005-d354a86a76\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00005-d354a86a76.json
cocc-00006-dbd0e13cb6,1,test,5395e1ae8455cd547ea5604debe13e62a1407ce44e55ddf7dc2afd3c221b364e,3460,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00006-dbd0e13cb6.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00006-dbd0e13cb6\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00006-dbd0e13cb6.json
cocc-00007-1878468b7d,0,test,5395e1ae8455cd547ea5604debe13e62a1407ce44e55ddf7dc2afd3c221b364e,1776,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00007-1878468b7d.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00007-1878468b7d\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00007-1878468b7d.json
cocc-00008-6a1bb82c62,0,test,d7cee86db1db18fe93e067b9519cca02a3aee1be78423a3a2e1f4c9dbe6938cc,3677,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00008-6a1bb82c62.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00008-6a1bb82c62\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00008-6a1bb82c62.json
cocc-00009-987cb7b655,0,test,d7cee86db1db18fe93e067b9519cca02a3aee1be78423a3a2e1f4c9dbe6938cc,15704,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00009-987cb7b655.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00009-987cb7b655\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00009-987cb7b655.json
cocc-00010-d428f742fc,0,test,95f180e417e425f00e97c5a95bfe534c0b1c90d9d8115c9acad2c04c8d6cb246,333,run_outputs\cocc_10pair_nemotron3_super_v1\verification\results\cocc-00010-d428f742fc.json,run_outputs\cocc_10pair_nemotron3_super_v1\projection\cocc-00010-d428f742fc\trajectory.jsonl,run_outputs\cocc_10pair_nemotron3_super_v1\projection\requests\cocc-00010-d428f742fc.json
