session_id,label,event_token,event_turn,event_type,split,group_sha256
cocc-00000-3099ecf25f,0,10367,0,external_verifier_pass,test,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419
cocc-00001-2e1f6d69e5,0,2532,0,external_verifier_pass,test,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419
cocc-00002-36a6dd2fdf,1,858,0,external_verifier_failure,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc
cocc-00003-d4dc294d49,1,15,0,external_verifier_failure,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc
cocc-00004-27058e6b76,0,3098,0,external_verifier_pass,test,e0c7bfa5b8e4ae0cecfc1f14093a71e05c27abd93a3850fc35f008c3baf866b4
cocc-00005-d354a86a76,1,2576,0,external_verifier_failure,test,e0c7bfa5b8e4ae0cecfc1f14093a71e05c27abd93a3850fc35f008c3baf866b4
cocc-00006-dbd0e13cb6,1,3460,0,external_verifier_failure,test,5395e1ae8455cd547ea5604debe13e62a1407ce44e55ddf7dc2afd3c221b364e
cocc-00007-1878468b7d,0,1776,0,external_verifier_pass,test,5395e1ae8455cd547ea5604debe13e62a1407ce44e55ddf7dc2afd3c221b364e
cocc-00008-6a1bb82c62,0,3677,0,external_verifier_pass,test,d7cee86db1db18fe93e067b9519cca02a3aee1be78423a3a2e1f4c9dbe6938cc
cocc-00009-987cb7b655,0,15704,0,external_verifier_pass,test,d7cee86db1db18fe93e067b9519cca02a3aee1be78423a3a2e1f4c9dbe6938cc
cocc-00010-d428f742fc,0,333,0,external_verifier_pass,test,95f180e417e425f00e97c5a95bfe534c0b1c90d9d8115c9acad2c04c8d6cb246
cocc-00011-a97b0e0328,0,976,0,external_verifier_pass,test,95f180e417e425f00e97c5a95bfe534c0b1c90d9d8115c9acad2c04c8d6cb246
cocc-00012-08da762404,0,9316,0,external_verifier_pass,test,08c6f6cb289f84a3beefea674deba98e485691f1d1cc06df80dd1674fd6706c9
cocc-00013-6230a121be,1,16384,0,external_verifier_failure,test,08c6f6cb289f84a3beefea674deba98e485691f1d1cc06df80dd1674fd6706c9
cocc-00014-352cd9f95e,1,16384,0,external_verifier_failure,test,2acee0ce6421d1b64d86cc141ef89090305ec18652dcf7d264cb034739e2c1b1
cocc-00015-d4cea92d1a,0,5594,0,external_verifier_pass,test,2acee0ce6421d1b64d86cc141ef89090305ec18652dcf7d264cb034739e2c1b1
cocc-00016-ef08ed83f5,0,6314,0,external_verifier_pass,test,2ffb714522d67ca2d1a34af7e9d97d3a95df73ba618ff2e2071194f7b790cb74
cocc-00017-56cba8c779,1,16384,0,external_verifier_failure,test,2ffb714522d67ca2d1a34af7e9d97d3a95df73ba618ff2e2071194f7b790cb74
cocc-00018-0c21751909,1,16384,0,external_verifier_failure,test,354a29c28b8f14855a2032bd5ba5f332b12fe384b3261e443ab836a80cfc58fc
cocc-00019-4e3d4bfc30,0,2178,0,external_verifier_pass,test,354a29c28b8f14855a2032bd5ba5f332b12fe384b3261e443ab836a80cfc58fc
