session_id,label,split,group_sha256,event_token,verification_result_path,trajectory_path,projection_request_path
cocc-00000-2bada75b02,1,train,ff3637d30b19ff6550bf9add3fe8ac395a3aa71a5279d3d7daab15a19f107387,107,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00000-2bada75b02.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00000-2bada75b02\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00000-2bada75b02.json
cocc-00001-3099ecf25f,1,train,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419,215,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00001-3099ecf25f.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00001-3099ecf25f\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00001-3099ecf25f.json
cocc-00002-2c2245b481,1,train,9087bff4ee5a4c50553a8a9096963d8d75dea9601fee74de289bbf21bcc25608,135,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00002-2c2245b481.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00002-2c2245b481\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00002-2c2245b481.json
cocc-00003-130347576b,1,train,c333a75353784177f2394d1c4994cc98ff751dad713b4b75ea5a05506e5802cc,122,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00003-130347576b.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00003-130347576b\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00003-130347576b.json
cocc-00004-3f14d1963e,0,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca,75,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00004-3f14d1963e.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00004-3f14d1963e\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00004-3f14d1963e.json
cocc-00005-7d14c01928,1,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17,140,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00005-7d14c01928.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00005-7d14c01928\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00005-7d14c01928.json
cocc-00006-d4dc294d49,1,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc,129,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00006-d4dc294d49.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00006-d4dc294d49\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00006-d4dc294d49.json
cocc-00007-7d230d8e95,1,test,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277,284,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00007-7d230d8e95.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00007-7d230d8e95\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00007-7d230d8e95.json
cocc-00008-aeeb55e24e,1,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca,84,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00008-aeeb55e24e.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00008-aeeb55e24e\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00008-aeeb55e24e.json
cocc-00009-c2135dd266,1,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17,123,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00009-c2135dd266.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00009-c2135dd266\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00009-c2135dd266.json
cocc-00010-36a6dd2fdf,1,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc,128,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00010-36a6dd2fdf.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00010-36a6dd2fdf\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00010-36a6dd2fdf.json
cocc-00011-2ea4c58ac3,1,test,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277,280,run_outputs\cocc_clean_negation_hermes_full_20260731\verification\results\cocc-00011-2ea4c58ac3.json,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\cocc-00011-2ea4c58ac3\trajectory.jsonl,run_outputs\cocc_clean_negation_hermes_full_20260731\projection\requests\cocc-00011-2ea4c58ac3.json
