session_id,label,event_token,event_turn,event_type,split,group_sha256
cocc-00000-2bada75b02,1,107,0,external_verifier_failure,train,ff3637d30b19ff6550bf9add3fe8ac395a3aa71a5279d3d7daab15a19f107387
cocc-00001-3099ecf25f,1,215,0,external_verifier_failure,train,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419
cocc-00002-2c2245b481,1,135,0,external_verifier_failure,train,9087bff4ee5a4c50553a8a9096963d8d75dea9601fee74de289bbf21bcc25608
cocc-00003-130347576b,1,122,0,external_verifier_failure,train,c333a75353784177f2394d1c4994cc98ff751dad713b4b75ea5a05506e5802cc
cocc-00004-3f14d1963e,0,75,0,external_verifier_pass,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca
cocc-00005-7d14c01928,1,140,0,external_verifier_failure,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17
cocc-00006-d4dc294d49,1,129,0,external_verifier_failure,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc
cocc-00007-7d230d8e95,1,284,0,external_verifier_failure,test,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277
cocc-00008-aeeb55e24e,1,84,0,external_verifier_failure,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca
cocc-00009-c2135dd266,1,123,0,external_verifier_failure,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17
cocc-00010-36a6dd2fdf,1,128,0,external_verifier_failure,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc
cocc-00011-2ea4c58ac3,1,280,0,external_verifier_failure,test,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277
