session_id,problem_id,item_id,source_label_raw,note
cocc-00000-2bada75b02,2728,2728:clean_control,,audit_only_not_run_truth
cocc-00001-3099ecf25f,2730,2730:clean_control,,audit_only_not_run_truth
cocc-00002-2c2245b481,2756,2756:clean_control,,audit_only_not_run_truth
cocc-00003-130347576b,2779,2779:clean_control,,audit_only_not_run_truth
cocc-00004-3f14d1963e,2727,2727:clean_control,,audit_only_not_run_truth
cocc-00005-7d14c01928,2754,2754:clean_control,,audit_only_not_run_truth
cocc-00006-d4dc294d49,2755,2755:clean_control,,audit_only_not_run_truth
cocc-00007-7d230d8e95,2757,2757:clean_control,,audit_only_not_run_truth
cocc-00008-aeeb55e24e,2727,2727:negation_objective:0,,audit_only_not_run_truth
cocc-00009-c2135dd266,2754,2754:negation_objective:3,,audit_only_not_run_truth
cocc-00010-36a6dd2fdf,2755,2755:negation_objective:4,,audit_only_not_run_truth
cocc-00011-2ea4c58ac3,2757,2757:negation_objective:6,,audit_only_not_run_truth
