session_id,label,event_token,event_turn,event_type,split,group_sha256
cocc-00000-165aa577de,1,115,0,external_verifier_failure,train,ff3637d30b19ff6550bf9add3fe8ac395a3aa71a5279d3d7daab15a19f107387
cocc-00001-2e1f6d69e5,1,310,0,external_verifier_failure,train,8fe57443675ecebfd10fcfecc3988ba43354c57c9ce5cb5c1b023db02b61a419
cocc-00002-4cb948ba15,1,124,0,external_verifier_failure,train,9087bff4ee5a4c50553a8a9096963d8d75dea9601fee74de289bbf21bcc25608
cocc-00003-0f32775b51,1,156,0,external_verifier_failure,train,c333a75353784177f2394d1c4994cc98ff751dad713b4b75ea5a05506e5802cc
cocc-00004-aeeb55e24e,1,84,0,external_verifier_failure,test,6195df46a1ee6b6984140dc3c3e6d772765010745d6c3f1ddd736ddbbd564cca
cocc-00005-c2135dd266,1,124,0,external_verifier_failure,test,6d0ae6d0fcd01bc8ab3fd34e8090e9c27031b52f68f6169a7e963915d31f3d17
cocc-00006-36a6dd2fdf,1,110,0,external_verifier_failure,test,bd64e1346049830018c72cd3623c277fc5095c34bbb07d567628ee499853d0fc
cocc-00007-2ea4c58ac3,1,266,0,external_verifier_failure,test,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277
cocc-00008-4db5e88cb9,1,109,0,external_verifier_failure,test,5a48eed290f62c93553855c36c964e1ef16603d23dcce371a1b2ce9a3857d0e1
cocc-00009-04b6424f2e,1,157,0,external_verifier_failure,test,4d51741118d90fac5f47a029e8ce64c09bd7df8941d9f182ecdb2efdabc67b8a
cocc-00010-569870af02,1,176,0,external_verifier_failure,test,28742531f88cae251171e0ebd4ff582684137116a6b3bd72cd3768e9b388e708
cocc-00011-4f67dc6d14,1,500,0,external_verifier_failure,test,e172e24d3024bb7c229c66312fe18a56c169c8da74e48c666e1590141cec58e5
