session_id,problem_id,item_id,source_label_raw,note
cocc-00000-165aa577de,2728,2728:negation_objective:1,,audit_only_not_run_truth
cocc-00001-2e1f6d69e5,2730,2730:negation_objective:2,,audit_only_not_run_truth
cocc-00002-4cb948ba15,2756,2756:negation_objective:5,,audit_only_not_run_truth
cocc-00003-0f32775b51,2779,2779:negation_objective:8,,audit_only_not_run_truth
cocc-00004-aeeb55e24e,2727,2727:negation_objective:0,,audit_only_not_run_truth
cocc-00005-c2135dd266,2754,2754:negation_objective:3,,audit_only_not_run_truth
cocc-00006-36a6dd2fdf,2755,2755:negation_objective:4,,audit_only_not_run_truth
cocc-00007-2ea4c58ac3,2757,2757:negation_objective:6,,audit_only_not_run_truth
cocc-00008-4db5e88cb9,2777,2777:negation_objective:7,,audit_only_not_run_truth
cocc-00009-04b6424f2e,2784,2784:negation_objective:9,,audit_only_not_run_truth
cocc-00010-569870af02,2785,2785:negation_objective:10,,audit_only_not_run_truth
cocc-00011-4f67dc6d14,2786,2786:negation_objective:11,,audit_only_not_run_truth
