session_id,problem_id,item_id,source_label_raw,note
cocc-00000-2bada75b02,2728,2728:clean_control,,audit_only_not_run_truth
cocc-00001-7d230d8e95,2757,2757:clean_control,,audit_only_not_run_truth
cocc-00002-99e2264408,2777,2777:clean_control,,audit_only_not_run_truth
cocc-00003-f92144c6f7,2784,2784:clean_control,,audit_only_not_run_truth
cocc-00004-91d3a99122,2786,2786:clean_control,,audit_only_not_run_truth
cocc-00005-79a632ec62,2811,2811:clean_control,,audit_only_not_run_truth
cocc-00006-bd99abc7bf,2819,2819:clean_control,,audit_only_not_run_truth
cocc-00007-5d1565583b,2845,2845:clean_control,,audit_only_not_run_truth
cocc-00008-145178e521,2854,2854:clean_control,,audit_only_not_run_truth
cocc-00009-b12bf2c456,2855,2855:clean_control,,audit_only_not_run_truth
cocc-00010-8d47130774,2868,2868:clean_control,,audit_only_not_run_truth
cocc-00011-4a95dde967,2878,2878:clean_control,,audit_only_not_run_truth
cocc-00012-f92d0f58d3,2879,2879:clean_control,,audit_only_not_run_truth
cocc-00013-4bf1a31ad4,2887,2887:clean_control,,audit_only_not_run_truth
cocc-00014-a40a4168bd,2953,2953:clean_control,,audit_only_not_run_truth
cocc-00015-8e848f17e2,2979,2979:clean_control,,audit_only_not_run_truth
cocc-00016-c51e958c4e,2999,2999:clean_control,,audit_only_not_run_truth
cocc-00017-d08635cf91,3000,3000:clean_control,,audit_only_not_run_truth
cocc-00018-38d545a294,3046,3046:clean_control,,audit_only_not_run_truth
cocc-00019-9cb313c7f4,3091,3091:clean_control,,audit_only_not_run_truth
