session_id,label,split,group_sha256,event_token,verification_result_path,trajectory_path,projection_request_path
cocc-00000-2bada75b02,1,train,ff3637d30b19ff6550bf9add3fe8ac395a3aa71a5279d3d7daab15a19f107387,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00000-2bada75b02.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00000-2bada75b02\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00000-2bada75b02.json
cocc-00001-7d230d8e95,1,train,a07e64a2cea4932cd9ed92492b633aaa2f8a350342dfe151bdd9b2ec3bef4277,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00001-7d230d8e95.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00001-7d230d8e95\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00001-7d230d8e95.json
cocc-00002-99e2264408,1,train,5a48eed290f62c93553855c36c964e1ef16603d23dcce371a1b2ce9a3857d0e1,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00002-99e2264408.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00002-99e2264408\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00002-99e2264408.json
cocc-00003-f92144c6f7,1,train,4d51741118d90fac5f47a029e8ce64c09bd7df8941d9f182ecdb2efdabc67b8a,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00003-f92144c6f7.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00003-f92144c6f7\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00003-f92144c6f7.json
cocc-00004-91d3a99122,1,train,e172e24d3024bb7c229c66312fe18a56c169c8da74e48c666e1590141cec58e5,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00004-91d3a99122.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00004-91d3a99122\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00004-91d3a99122.json
cocc-00005-79a632ec62,1,train,61f5869c42cc56c113f931c7ed19126205121938aaa9ccede69b20ec83a300e1,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00005-79a632ec62.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00005-79a632ec62\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00005-79a632ec62.json
cocc-00006-bd99abc7bf,0,train,c05562111bb2b94ae2eebdbb85e408884622fffd762a7e132198b960d2ad4d17,64,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00006-bd99abc7bf.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00006-bd99abc7bf\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00006-bd99abc7bf.json
cocc-00007-5d1565583b,1,train,749fea29244990c5d170271c9174c55897b02f743c80eeb56c41416049d1e5bb,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00007-5d1565583b.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00007-5d1565583b\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00007-5d1565583b.json
cocc-00008-145178e521,1,train,a91612704c1770a3bd00af0dd9cd3a0b06da2e78cea7f0db9bb27e8618e73978,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00008-145178e521.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00008-145178e521\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00008-145178e521.json
cocc-00009-b12bf2c456,1,train,f22be6c15a5358aff79ed6e1aa62908339a08fc7c05b104636a5526fb9381039,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00009-b12bf2c456.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00009-b12bf2c456\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00009-b12bf2c456.json
cocc-00010-8d47130774,1,train,edaf31d91128ba1f3c332a73b0982fc1fe6b722182da2d8b853a15dcbdf9b84d,512,run_outputs\cocc_nemotron3_super_confirmatory_v4\verification\results\cocc-00010-8d47130774.json,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\cocc-00010-8d47130774\trajectory.jsonl,run_outputs\cocc_nemotron3_super_confirmatory_v4\projection\requests\cocc-00010-8d47130774.json
