session_id,label,outcome,problem_id,item_id,perturbation_type,difficulty,n_windows,max_delta_h1,max_xi_h1,max_negative_balance_h1,max_delta_h2,max_xi_h2,max_negative_balance_h2,max_delta_h4,max_xi_h4,max_negative_balance_h4,max_delta_h8,max_xi_h8,max_negative_balance_h8,max_delta_h16,max_xi_h16,max_negative_balance_h16,max_delta_full,max_xi_full,max_negative_balance_full
cocc-00020-3f14d1963e,0,PASS,2727,2727:clean_control,clean_control,easy,5,0.11125252238110071,0.006740449585346126,-0.1932595504146539,0.11724776019757101,0.013435749072060712,-0.1865642509279393,0.11915313409672439,0.024558892552466516,-0.1754411074475335,,,,,,,0.12007734710753923,0.030346063158748573,-0.16965393684125143
cocc-00021-3099ecf25f,1,FAIL,2730,2730:clean_control,clean_control,medium,32,0.013409500737098025,0.0008124405788612079,-0.1991875594211388,0.020369723234230898,0.0019973564346411907,-0.19800264356535882,0.07185849455860913,0.006266060144267719,-0.19373393985573228,0.08567307760369815,0.01816897372305183,-0.1818310262769482,0.1182747487513201,0.04071301846703784,-0.15928698153296217,0.1182747487513201,0.042307538356141594,-0.15769246164385842
cocc-00022-7d14c01928,1,FAIL,2754,2754:clean_control,clean_control,medium,32,0.042774046346017496,0.0025915484591796365,-0.19740845154082037,0.042774046346017496,0.0034157754021981275,-0.1965842245978019,0.06131441172448958,0.008445861613010057,-0.19155413838698995,0.15377217216724362,0.031163672062031716,-0.1688363279379683,0.15377217216724362,0.04303746455167555,-0.15696253544832445,0.15377217216724362,0.05727009938744044,-0.14272990061255958
cocc-00023-d4dc294d49,0,PASS,2755,2755:clean_control,clean_control,medium,32,0.08828094481348042,0.005348672058181347,-0.19465132794181866,0.11336096501404984,0.011892806066871,-0.18810719393312902,0.11913427108229704,0.024349882436339104,-0.17565011756366092,0.1428691073621263,0.04575132025604968,-0.15424867974395035,0.1428691073621263,0.0727227997221881,-0.12727720027781192,0.1428691073621263,0.08512613227393916,-0.11487386772606085
cocc-00024-2c2245b481,1,FAIL,2756,2756:clean_control,clean_control,easy,8,0.12858688372751373,0.007790685447409764,-0.19220931455259024,0.12858688372751373,0.014323687928056862,-0.18567631207194316,0.12858688372751373,0.02421265823445843,-0.1757873417655416,0.1491395711639196,0.04571219404162741,-0.1542878059583726,,,,0.1491395711639196,0.04571219404162741,-0.1542878059583726
cocc-00025-130347576b,1,FAIL,2779,2779:clean_control,clean_control,medium,32,0.09180089771717824,0.00556193522365721,-0.1944380647763428,0.09180089771717824,0.008172965804624906,-0.1918270341953751,0.09180089771717824,0.011465678541204144,-0.18853432145879587,0.09485646630316838,0.018068560465563023,-0.181931439534437,0.10554919568148681,0.029355099726125725,-0.1706449002738743,0.19773000809742367,0.0737682965299252,-0.1262317034700748
cocc-00026-0898e43e3b,1,FAIL,2785,2785:clean_control,clean_control,easy,32,0.03965493410000383,0.0024025710014526883,-0.19759742899854732,0.32810736809907,0.022136027084555636,-0.17786397291544437,0.32810736809907,0.022682341624775178,-0.17731765837522484,0.32810736809907,0.03294654707501589,-0.16705345292498414,0.32810736809907,0.03745495390107559,-0.16254504609892442,0.32810736809907,0.04982614730869086,-0.15017385269130915
cocc-00027-5958e0685d,1,FAIL,2791,2791:clean_control,clean_control,easy,32,0.031537745381847816,0.0019107753984546072,-0.1980892246015454,0.06587947303475673,0.005786442864049003,-0.194213557135951,0.08444180660800243,0.010551930446587122,-0.1894480695534129,0.08444180660800243,0.01642038346068701,-0.183579616539313,0.11542755479983852,0.02430578454058594,-0.17569421545941408,0.19977854770992126,0.04664068057206336,-0.15335931942793665
cocc-00028-4552079fb5,1,FAIL,2792,2792:clean_control,clean_control,medium,32,0.04219551405349179,0.002556496959512006,-0.197443503040488,0.0759138107581858,0.0070009919228043995,-0.1929990080771956,0.0759138107581858,0.010108683367640587,-0.18989131663235942,0.16093235512354923,0.030596919057389472,-0.16940308094261053,0.16093235512354923,0.03812390051212912,-0.1618760994878709,0.16093235512354923,0.054305437555475365,-0.14569456244452464
cocc-00029-21edc2100e,1,FAIL,2800,2800:clean_control,clean_control,easy,32,0.020992799017673158,0.0012718893954530904,-0.19872811060454693,0.020992799017673158,0.0023379577507779033,-0.1976620422492221,0.06548075753505461,0.008633720017399144,-0.19136627998260086,0.06548075753505461,0.013809544745706675,-0.18619045525429334,0.18138164148060498,0.05049621737098951,-0.14950378262901048,0.18138164148060498,0.08084462680555211,-0.1191553731944479
cocc-00030-94bca8aae3,1,FAIL,2802,2802:clean_control,clean_control,medium,32,0.12060293640394439,0.00730696253241615,-0.19269303746758387,0.12060293640394439,0.013919459776976558,-0.18608054022302345,0.1257614394218311,0.02682201959825004,-0.17317798040174998,0.15736757613612254,0.04686655897563134,-0.15313344102436866,0.15736757613612254,0.06376571822511026,-0.13623428177488975,0.15736757613612254,0.07344338899139866,-0.12655661100860136
cocc-00031-27058e6b76,1,FAIL,2808,2808:clean_control,clean_control,hard,32,0.02317247241703957,0.0014039491307876407,-0.19859605086921236,0.04612617157562213,0.00411353161289459,-0.1958864683871054,0.0860613933108165,0.013400728282289066,-0.18659927171771096,0.0860613933108165,0.015990050709897608,-0.1840099492901024,0.11996783642636628,0.03881432135650327,-0.16118567864349675,0.11996783642636628,0.05146422453003017,-0.14853577546996985
cocc-00032-0c9462088b,1,FAIL,2810,2810:clean_control,clean_control,medium,32,0.033217069482844405,0.0020125205022775037,-0.1979874794977225,0.05177054467792244,0.005027206787532856,-0.19497279321246716,0.060442306354700444,0.00923495561907204,-0.19076504438092798,0.06070653274614569,0.01771962797270913,-0.1822803720272909,0.11978126305255139,0.03685358574887788,-0.16314641425112214,0.1296294871772636,0.05094234121701442,-0.1490576587829856
cocc-00033-8f16d07336,1,FAIL,2812,2812:clean_control,clean_control,easy,32,0.039194213047457495,0.0023746573239815543,-0.19762534267601845,0.039194213047457495,0.00345195977754081,-0.1965480402224592,0.0457397120911398,0.00664361383754998,-0.19335638616245004,0.14284647402954512,0.024066733196789737,-0.17593326680321028,0.14284647402954512,0.049269014175639086,-0.15073098582436092,0.14284647402954512,0.05324570304969282,-0.1467542969503072
cocc-00034-ef66c8d0fe,1,FAIL,2816,2816:clean_control,clean_control,easy,32,0.013378155237416844,0.000810541451040944,-0.19918945854895906,0.04712491464539464,0.003616587470600491,-0.19638341252939953,0.0862199517712152,0.009380088251773083,-0.19061991174822693,0.0969259145217504,0.016920601108830004,-0.18307939889117,0.10924626953764373,0.03799078869901229,-0.16200921130098772,0.11011110180971483,0.04840378121221992,-0.1515962187877801
cocc-00035-da0d754e4c,1,FAIL,2817,2817:clean_control,clean_control,medium,32,0.03259721952318258,0.001974965691706403,-0.1980250343082936,0.07626733066449225,0.006476112541750909,-0.1935238874582491,0.10151882958912863,0.013652031226345743,-0.18634796877365428,0.12224032698055842,0.02332434389030393,-0.17667565610969607,0.24730698367868104,0.04897381893529468,-0.15102618106470533,0.24730698367868104,0.05318507015809781,-0.1468149298419022
cocc-00036-a2ebb807cb,0,PASS,2824,2824:clean_control,clean_control,easy,6,0.13307361931643324,0.008062523014708174,-0.19193747698529184,0.13307361931643324,0.014565770723439689,-0.18543422927656034,0.13307361931643324,0.026373499699349538,-0.17362650030065047,,,,,,,0.1548451211323604,0.040317200188070265,-0.15968279981192973
cocc-00037-57e74e8e51,1,FAIL,2825,2825:clean_control,clean_control,easy,32,0.04604838793705808,0.002789930787483236,-0.19721006921251677,0.07869710227198072,0.007388913818221206,-0.1926110861817788,0.12158029054548697,0.014307419587238777,-0.18569258041276124,0.12158029054548697,0.023635587373388424,-0.1763644126266116,0.13907471811617814,0.04437613852495946,-0.15562386147504054,0.2332719955032381,0.0700275631984291,-0.12997243680157092
cocc-00038-1878468b7d,1,FAIL,2827,2827:clean_control,clean_control,hard,32,0.024448772920954456,0.0014812762692494612,-0.19851872373075055,0.032243140969587095,0.003345043433589173,-0.19665495656641083,0.034884161696273897,0.007016618837979095,-0.1929833811620209,0.07773063945695233,0.018040579650744952,-0.18195942034925505,0.08483406635278475,0.02777829715702013,-0.17222170284297988,0.08802765136402094,0.04319189356183242,-0.1568081064381676
cocc-00039-43e7822825,1,FAIL,2828,2828:clean_control,clean_control,medium,32,0.05394039447722008,0.0032680832920076695,-0.19673191670799234,0.05394039447722008,0.004692804135389323,-0.19530719586461068,0.05394039447722008,0.007982599123776,-0.19201740087622401,0.055540661861968287,0.01450142295525379,-0.18549857704474623,0.1357414344398938,0.030119796650417103,-0.1698802033495829,0.1357414344398938,0.04421531277885677,-0.15578468722114325
cocc-00040-2d88415ad8,0,PASS,2831,2831:clean_control,clean_control,easy,10,0.09124111412759088,0.005528019650476834,-0.19447198034952318,0.11727772974744552,0.012298592316734164,-0.18770140768326585,0.11727772974744552,0.0220126112912861,-0.17798738870871392,0.1514216522865406,0.047780327669320964,-0.15221967233067904,,,,0.1514216522865406,0.058942568505678104,-0.1410574314943219
cocc-00041-c58e56c7ac,1,FAIL,2832,2832:clean_control,clean_control,medium,32,0.04756437173700317,0.0028817796027462974,-0.1971182203972537,0.08907876490816974,0.008104190937113736,-0.19189580906288628,0.08907876490816974,0.013509320739155953,-0.18649067926084406,0.08907876490816974,0.022661240514051013,-0.177338759485949,0.09459615296733047,0.03182884703871069,-0.16817115296128932,0.1023447502222927,0.03919800778918095,-0.16080199221081906
cocc-00042-13ff887a20,1,FAIL,2833,2833:clean_control,clean_control,medium,32,0.00420475039476855,0.00025475294805285493,-0.19974524705194716,0.027131397751988754,0.001883126538573441,-0.19811687346142656,0.05105941888278338,0.005534110360763176,-0.19446588963923683,0.10926766851830128,0.01756810725543819,-0.1824318927445618,0.10926766851830128,0.027212723114287327,-0.1727872768857127,0.37493709434011324,0.08193639980158407,-0.11806360019841594
cocc-00043-dfd9354fb9,1,FAIL,2834,2834:clean_control,clean_control,medium,32,0.011514245419506039,0.0006976128639818363,-0.19930238713601817,0.03306338088485728,0.0026585556180562303,-0.1973414443819438,0.0745269839427208,0.00813544868580918,-0.19186455131419083,0.0745269839427208,0.0182012242737658,-0.1817987757262342,0.13483594323367945,0.039722135866913824,-0.1602778641330862,0.1840427463194604,0.0753152325082535,-0.1246847674917465
cocc-00044-074e463564,1,FAIL,2837,2837:clean_control,clean_control,medium,32,0.058388649970629675,0.003537589468176488,-0.19646241053182353,0.058388649970629675,0.0038571583342819527,-0.19614284166571805,0.1202569197619177,0.011837136131863404,-0.1881628638681366,0.16331650936558598,0.034400513804048606,-0.1655994861959514,0.16331650936558598,0.048833753863808824,-0.15116624613619117,0.16331650936558598,0.048833753863808824,-0.15116624613619117
cocc-00045-6a1bb82c62,1,FAIL,2839,2839:clean_control,clean_control,hard,32,0.08589490383910302,0.00520410914354227,-0.19479589085645774,0.10622908479553791,0.011324902997639868,-0.18867509700236015,0.10622908479553791,0.0121868267946139,-0.1878131732053861,0.10622908479553791,0.014188109053795918,-0.1858118909462041,0.10622908479553791,0.02494902097572569,-0.17505097902427433,0.4030140346332145,0.1442800612707779,-0.055719938729222124
