session_id,problem_id,item_id,source_label_raw,note
cocc-00000-2bada75b02,2728,2728:clean_control,,audit_only_not_run_truth
cocc-00001-7d230d8e95,2757,2757:clean_control,,audit_only_not_run_truth
cocc-00002-99e2264408,2777,2777:clean_control,,audit_only_not_run_truth
cocc-00003-f92144c6f7,2784,2784:clean_control,,audit_only_not_run_truth
cocc-00004-91d3a99122,2786,2786:clean_control,,audit_only_not_run_truth
cocc-00005-79a632ec62,2811,2811:clean_control,,audit_only_not_run_truth
cocc-00006-bd99abc7bf,2819,2819:clean_control,,audit_only_not_run_truth
cocc-00007-5d1565583b,2845,2845:clean_control,,audit_only_not_run_truth
cocc-00008-145178e521,2854,2854:clean_control,,audit_only_not_run_truth
cocc-00009-b12bf2c456,2855,2855:clean_control,,audit_only_not_run_truth
cocc-00010-8d47130774,2868,2868:clean_control,,audit_only_not_run_truth
cocc-00011-4a95dde967,2878,2878:clean_control,,audit_only_not_run_truth
cocc-00012-f92d0f58d3,2879,2879:clean_control,,audit_only_not_run_truth
cocc-00013-4bf1a31ad4,2887,2887:clean_control,,audit_only_not_run_truth
cocc-00014-a40a4168bd,2953,2953:clean_control,,audit_only_not_run_truth
cocc-00015-8e848f17e2,2979,2979:clean_control,,audit_only_not_run_truth
cocc-00016-c51e958c4e,2999,2999:clean_control,,audit_only_not_run_truth
cocc-00017-d08635cf91,3000,3000:clean_control,,audit_only_not_run_truth
cocc-00018-38d545a294,3046,3046:clean_control,,audit_only_not_run_truth
cocc-00019-9cb313c7f4,3091,3091:clean_control,,audit_only_not_run_truth
cocc-00020-3f14d1963e,2727,2727:clean_control,,audit_only_not_run_truth
cocc-00021-3099ecf25f,2730,2730:clean_control,,audit_only_not_run_truth
cocc-00022-7d14c01928,2754,2754:clean_control,,audit_only_not_run_truth
cocc-00023-d4dc294d49,2755,2755:clean_control,,audit_only_not_run_truth
cocc-00024-2c2245b481,2756,2756:clean_control,,audit_only_not_run_truth
cocc-00025-130347576b,2779,2779:clean_control,,audit_only_not_run_truth
cocc-00026-0898e43e3b,2785,2785:clean_control,,audit_only_not_run_truth
cocc-00027-5958e0685d,2791,2791:clean_control,,audit_only_not_run_truth
cocc-00028-4552079fb5,2792,2792:clean_control,,audit_only_not_run_truth
cocc-00029-21edc2100e,2800,2800:clean_control,,audit_only_not_run_truth
cocc-00030-94bca8aae3,2802,2802:clean_control,,audit_only_not_run_truth
cocc-00031-27058e6b76,2808,2808:clean_control,,audit_only_not_run_truth
cocc-00032-0c9462088b,2810,2810:clean_control,,audit_only_not_run_truth
cocc-00033-8f16d07336,2812,2812:clean_control,,audit_only_not_run_truth
cocc-00034-ef66c8d0fe,2816,2816:clean_control,,audit_only_not_run_truth
cocc-00035-da0d754e4c,2817,2817:clean_control,,audit_only_not_run_truth
cocc-00036-a2ebb807cb,2824,2824:clean_control,,audit_only_not_run_truth
cocc-00037-57e74e8e51,2825,2825:clean_control,,audit_only_not_run_truth
cocc-00038-1878468b7d,2827,2827:clean_control,,audit_only_not_run_truth
cocc-00039-43e7822825,2828,2828:clean_control,,audit_only_not_run_truth
cocc-00040-2d88415ad8,2831,2831:clean_control,,audit_only_not_run_truth
cocc-00041-c58e56c7ac,2832,2832:clean_control,,audit_only_not_run_truth
cocc-00042-13ff887a20,2833,2833:clean_control,,audit_only_not_run_truth
cocc-00043-dfd9354fb9,2834,2834:clean_control,,audit_only_not_run_truth
cocc-00044-074e463564,2837,2837:clean_control,,audit_only_not_run_truth
cocc-00045-6a1bb82c62,2839,2839:clean_control,,audit_only_not_run_truth
cocc-00046-6ddd1a5974,2844,2844:clean_control,,audit_only_not_run_truth
cocc-00047-d62a614ff2,2847,2847:clean_control,,audit_only_not_run_truth
cocc-00048-a97b0e0328,2848,2848:clean_control,,audit_only_not_run_truth
cocc-00049-14dc6841ac,2849,2849:clean_control,,audit_only_not_run_truth
cocc-00050-0a7a262035,2850,2850:clean_control,,audit_only_not_run_truth
cocc-00051-b94280daf2,2856,2856:clean_control,,audit_only_not_run_truth
cocc-00052-3141d381a8,2857,2857:clean_control,,audit_only_not_run_truth
cocc-00053-799b3b1834,2866,2866:clean_control,,audit_only_not_run_truth
cocc-00054-635a182456,2867,2867:clean_control,,audit_only_not_run_truth
cocc-00055-375eec078a,2869,2869:clean_control,,audit_only_not_run_truth
cocc-00056-d4fbc0aa59,2870,2870:clean_control,,audit_only_not_run_truth
cocc-00057-6d8a2f325a,2872,2872:clean_control,,audit_only_not_run_truth
cocc-00058-7e079af4ce,2873,2873:clean_control,,audit_only_not_run_truth
cocc-00059-6d62ddb329,2876,2876:clean_control,,audit_only_not_run_truth
cocc-00060-9871f38168,2877,2877:clean_control,,audit_only_not_run_truth
cocc-00061-d89098cab4,2881,2881:clean_control,,audit_only_not_run_truth
cocc-00062-8eccf2427c,2882,2882:clean_control,,audit_only_not_run_truth
cocc-00063-ededb38644,2883,2883:clean_control,,audit_only_not_run_truth
cocc-00064-cfd5869891,2884,2884:clean_control,,audit_only_not_run_truth
cocc-00065-413583b258,2886,2886:clean_control,,audit_only_not_run_truth
cocc-00066-faf0cd180c,2888,2888:clean_control,,audit_only_not_run_truth
cocc-00067-88b6e8e3cc,2891,2891:clean_control,,audit_only_not_run_truth
cocc-00068-732aa84e41,2892,2892:clean_control,,audit_only_not_run_truth
