session_id,item_id,arm,finish_reason,token_count,geometry_ready_windows,active_window_fraction,stagnant_fraction,stagnation_onset,minimum_transport_efficiency_active,raw_recurrence_persistence_area,mobile_recurrence_persistence_area,maximum_mobile_recurrence_persistence,recurrent_fraction,crystallizing_fraction,crystallized_fraction,crystallization_onset,geometry_ready_windows_h16,active_window_fraction_h16,stagnant_fraction_h16,stagnation_onset_h16,minimum_transport_efficiency_active_h16,raw_recurrence_persistence_area_h16,mobile_recurrence_persistence_area_h16,maximum_mobile_recurrence_persistence_h16,recurrent_fraction_h16,crystallizing_fraction_h16,crystallized_fraction_h16,crystallization_onset_h16
msp_001--abstract_content,msp_001,abstract_content,length,700,37,0.9459459459459459,0.05405405405405406,7,0.010277598391623453,0.276690826451418,0.27661545868140625,0.4860562013077889,0.0,0.43243243243243246,0.0,,16,0.875,0.125,7,0.061753478014379866,0.1606400773347448,0.16046578936659261,0.2943288324303381,0.0,0.0,0.0,
msp_001--concrete_content,msp_001,concrete_content,length,700,37,0.0,1.0,7,,0.31604829097681114,0.0,0.0,0.0,0.0,0.0,,16,0.0,1.0,7,,0.2031639353069829,0.0,0.0,0.0,0.0,0.0,
msp_001--control_neutral,msp_001,control_neutral,stop,363,16,0.9375,0.0625,7,0.0641316866322379,0.07167256926486666,0.07093175291657834,0.19065502050519492,0.0,0.0,0.0,,16,0.9375,0.0625,7,0.0641316866322379,0.07167256926486666,0.07093175291657834,0.19065502050519492,0.0,0.0,0.0,
msp_001--minimal_structural,msp_001,minimal_structural,length,700,37,0.0,1.0,7,,0.34506614852914036,0.0,0.0,0.0,0.0,0.0,,16,0.0,1.0,7,,0.2701508592556694,0.0,0.0,0.0,0.0,0.0,
msp_002--abstract_content,msp_002,abstract_content,stop,531,27,0.8518518518518519,0.14814814814814814,7,0.017461150058267972,0.1507033948951708,0.1507033948951708,0.329896291935957,0.0,0.18518518518518517,0.0,,16,0.75,0.25,7,0.06347409297431204,0.06062298712614202,0.06062298712614202,0.17638957456932663,0.0,0.0,0.0,
msp_002--concrete_content,msp_002,concrete_content,stop,653,34,0.5882352941176471,0.4117647058823529,7,0.029816032260368736,0.21768796650995964,0.17765697560063454,0.46080922156693604,0.029411764705882353,0.23529411764705882,0.0,,16,0.3125,0.6875,7,0.13445350074099816,0.07418918145404745,0.056519191260738344,0.23777196927431482,0.0,0.0,0.0,
msp_002--control_neutral,msp_002,control_neutral,stop,695,37,1.0,0.0,,0.015572003356873369,0.21450586433771937,0.21450586433771937,0.4120983820073243,0.02702702702702703,0.35135135135135137,0.0,,16,1.0,0.0,,0.07214425573981055,0.07571242649677978,0.07571242649677978,0.1704902960872303,0.0,0.0,0.0,
msp_002--minimal_structural,msp_002,minimal_structural,stop,436,21,0.0,1.0,7,,0.19095317676207196,0.0,0.0,0.0,0.0,0.0,,16,0.0,1.0,7,,0.12570625914980654,0.0,0.0,0.0,0.0,0.0,
msp_003--abstract_content,msp_003,abstract_content,length,700,37,0.918918918918919,0.08108108108108109,7,0.011091483918717338,0.23887377100544407,0.238376605687099,0.41527216828857444,0.0,0.43243243243243246,0.0,,16,0.8125,0.1875,7,0.06635491942212528,0.13365497446880417,0.13250527967013115,0.27762871362973235,0.0,0.0,0.0,
msp_003--concrete_content,msp_003,concrete_content,length,700,37,0.6756756756756757,0.32432432432432434,28,0.05792502236650882,0.14082405131273693,0.08051220113904703,0.227953846752118,0.0,0.0,0.0,,16,1.0,0.0,,0.1112898602725396,0.08095784165734526,0.08095784165734526,0.1472240934463555,0.0,0.0,0.0,
msp_003--control_neutral,msp_003,control_neutral,stop,60,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,
msp_003--minimal_structural,msp_003,minimal_structural,length,700,37,1.0,0.0,,0.025778618925021392,0.263772975499474,0.263772975499474,0.38491762642589855,0.0,0.40540540540540543,0.1891891891891892,37,16,1.0,0.0,,0.08872667309700709,0.15790727353061798,0.15790727353061798,0.3194007426044558,0.0,0.0625,0.0,
